run_id,family,view_scope,label_space,cleaning,topk,study_micro,study_macro,study_Atelectasis,study_Cardiomegaly,study_Consolidation,study_Edema,study_Enlarged Cardiomediastinum,study_Fracture,study_Lung Lesion,study_Lung Opacity,study_Pleural Effusion,study_Pleural Other,study_Pneumonia,study_Pneumothorax
appa_xrv_direct_full_entry,XRV direct,AP/PA,common12,full_entry,,0.8318662492671303,0.6342794364100085,0.5,0.7299428104575163,0.7255102040816327,0.8738070358760014,0.6582491582491582,0.5,0.5,0.5,0.8514081308198955,0.5,0.7724358974358975,0.5
appa_xrv_direct_full_sample,XRV direct,AP/PA,common12,full_sample,,0.8313135714016772,0.6364746931678308,0.5,0.7390522875816994,0.7397959183673469,0.8490421455938697,0.7062289562289562,0.5,0.5,0.5,0.8392573245514422,0.5,0.7643196856906536,0.5
appa_xrv_linear_baseline,XRV linear-head,AP/PA,common12,baseline,,0.8977545948911589,0.8157916451989516,0.8985849056603774,0.8429738562091504,0.8312925170068028,0.9111807732497388,0.8597081930415265,0.555984555984556,0.7647058823529411,0.710960960960961,0.9189756983874631,1.0,0.7984904880066171,0.6966419115272845
appa_xrv_linear_full_entry,XRV linear-head,AP/PA,common12,full_entry,,0.8860152329315325,0.8113609064827902,0.9268867924528301,0.8420343137254902,0.8455782312925171,0.9118077324973876,0.8529741863075196,0.5598455598455598,0.696078431372549,0.6548423423423424,0.9151714739950034,1.0,0.7924937965260546,0.7386180174362287
appa_xrv_linear_full_sample,XRV linear-head,AP/PA,common12,full_sample,,0.8852884144734365,0.8127476397779279,0.9198113207547169,0.8462826797385622,0.8204081632653061,0.9108324625566004,0.840347923681257,0.5250965250965252,0.8529411764705883,0.675487987987988,0.9159096070860777,0.9545454545454546,0.7867555831265508,0.7045527930255087
appa_xrv_linear_top05_entry,XRV linear-head,AP/PA,common12,topk_entry,5%,0.9004077175883345,0.8243104739058483,0.8443396226415094,0.8651143790849674,0.8775510204081634,0.907070707070707,0.8765432098765433,0.6293436293436294,0.7745098039215685,0.697072072072072,0.9101181012945719,0.9545454545454546,0.8154466501240695,0.7400710364869229
appa_xrv_linear_top05_sample,XRV linear-head,AP/PA,common12,topk_sample,5%,0.8985708368968279,0.8142545405731175,0.8985849056603774,0.8695261437908497,0.8231292517006804,0.9168930686172067,0.8754208754208753,0.5521235521235521,0.7450980392156863,0.7364864864864865,0.9161367249602544,0.8636363636363636,0.7842224979321752,0.7897965773329029
appa_xrv_linear_top10_entry,XRV linear-head,AP/PA,common12,topk_entry,10%,0.8988364181095458,0.7847542243959552,0.8018867924528301,0.8694444444444445,0.845578231292517,0.9145245559038663,0.8664421997755332,0.5984555984555985,0.5980392156862745,0.6584084084084083,0.9161935044287987,0.8181818181818182,0.7998345740281224,0.7300613496932515
appa_xrv_linear_top10_sample,XRV linear-head,AP/PA,common12,topk_sample,10%,0.9004998305659098,0.8383889435404835,0.9433962264150944,0.8543300653594772,0.8605442176870748,0.900592128178335,0.856341189674523,0.5945945945945946,0.892156862745098,0.7180930930930931,0.9203384056325232,1.0,0.7902191894127378,0.7300613496932515
appa_xrv_linear_top20_entry,XRV linear-head,AP/PA,common12,topk_entry,20%,0.8915675611710854,0.7859494226901499,0.8820754716981132,0.8462418300653595,0.8095238095238095,0.9003134796238245,0.8378226711560045,0.5135135135135136,0.6176470588235294,0.6559684684684685,0.9254485578014989,0.9318181818181819,0.7903225806451613,0.7206974491443332
appa_xrv_linear_top20_sample,XRV linear-head,AP/PA,common12,topk_sample,20%,0.8990273676397025,0.8385758884726328,0.9693396226415094,0.8517973856209151,0.8333333333333334,0.9011842563566701,0.8434343434343434,0.6602316602316602,0.8137254901960784,0.7293543543543544,0.9230070406540996,1.0,0.809863523573201,0.7276396512754278
fullview_densenet_baseline,DenseNet,All views,14->common12,baseline,,0.8906382936917288,0.7961812798817897,0.7839662447257384,0.8718509757539917,0.8470528455284553,0.9047366185216653,0.8384920634920635,0.5178571428571428,0.7620967741935484,0.6727553383071777,0.8930722891566265,0.94,0.7993783993783994,0.7229166666666667
fullview_densenet_full_entry,DenseNet,All views,14->common12,full_entry,,0.879109807735762,0.7823842235943488,0.7725738396624473,0.8716144293317563,0.823170731707317,0.9025594732370434,0.8615079365079366,0.4523809523809524,0.717741935483871,0.6268330331875482,0.8911999348746337,0.96,0.7737762237762239,0.7352521929824561
fullview_densenet_full_sample,DenseNet,All views,14->common12,full_sample,,0.8772407085384185,0.7852537257280067,0.7784810126582278,0.8684801892371378,0.815548780487805,0.9079757858963468,0.8519841269841271,0.47023809523809523,0.7137096774193549,0.6193722665294571,0.8926652556170629,0.98,0.7572649572649571,0.7673245614035087
