run_id,family,view_scope,label_space,cleaning,topk,image_micro,image_macro,image_Atelectasis,image_Cardiomegaly,image_Consolidation,image_Edema,image_Enlarged Cardiomediastinum,image_Fracture,image_Lung Lesion,image_Lung Opacity,image_Pleural Effusion,image_Pleural Other,image_Pneumonia,image_Pneumothorax
appa_xrv_linear_full_sample,XRV linear-head,AP/PA,common12,full_sample,,0.880414633223622,0.804325062983736,0.9073275862068966,0.8405067567567568,0.7946815089672232,0.9045031055900623,0.8559907834101383,0.5182724252491695,0.8303571428571428,0.6761739678537662,0.913761818355458,0.9642857142857143,0.784558464791023,0.6614814814814814
appa_xrv_linear_top05_entry,XRV linear-head,AP/PA,common12,topk_entry,5%,0.8978304748298138,0.8213322757109148,0.8318965517241379,0.853445945945946,0.8614718614718614,0.9005613951266126,0.8921658986175116,0.6378737541528239,0.7589285714285714,0.7024897573274503,0.9097507401394327,0.9642857142857143,0.8184257602862254,0.7246913580246914
appa_xrv_linear_top05_sample,XRV linear-head,AP/PA,common12,topk_sample,5%,0.8933785976086042,0.807339214731959,0.8857758620689655,0.86,0.8051948051948051,0.9069517439082657,0.8857142857142857,0.548172757475083,0.7321428571428572,0.7299086038449417,0.9121860376277338,0.8928571428571429,0.7812652463815255,0.7479012345679013
appa_xrv_linear_top10_entry,XRV linear-head,AP/PA,common12,topk_entry,10%,0.8957803414181471,0.7753101185035928,0.7887931034482758,0.8575,0.8169449598021026,0.9077281414237935,0.8806451612903226,0.5913621262458472,0.5803571428571428,0.6671919319256225,0.9157673574634705,0.7857142857142857,0.801593755082127,0.7101234567901235
appa_xrv_linear_top10_sample,XRV linear-head,AP/PA,common12,topk_sample,10%,0.8951661359129964,0.8271842629170835,0.9310344827586207,0.8448648648648648,0.8354978354978355,0.8895723841376015,0.870967741935484,0.5714285714285714,0.8660714285714286,0.718562874251497,0.9167701270174768,1.0,0.7871198568872988,0.6943209876543209
appa_xrv_linear_top20_entry,XRV linear-head,AP/PA,common12,topk_entry,20%,0.8878641003558386,0.7804567026633343,0.8706896551724138,0.8375000000000001,0.7891156462585034,0.8901696129956999,0.8557603686635945,0.5016611295681064,0.6160714285714286,0.6556886227544911,0.921640721994079,0.9464285714285714,0.7893966498617663,0.691358024691358
appa_xrv_linear_top20_sample,XRV linear-head,AP/PA,common12,topk_sample,20%,0.8956701849960276,0.8342357454746391,0.9676724137931034,0.841554054054054,0.8138528138528139,0.8947981366459627,0.8622119815668203,0.6677740863787375,0.8035714285714286,0.7305389221556886,0.92226148409894,1.0,0.8100504147015775,0.6965432098765433
fullview_densenet_baseline,DenseNet,All views,14->common12,baseline,,0.8800830144027215,0.7806118609689282,0.7663113006396588,0.8609652194211018,0.7865546218487395,0.8910433738712876,0.8527950310559006,0.5384615384615384,0.8147368421052632,0.6685024914765277,0.8870105421686747,0.8294573643410854,0.7635064482398048,0.7079975579975579
fullview_densenet_full_entry,DenseNet,All views,14->common12,full_entry,,0.8735883853791114,0.786075940686824,0.7963752665245204,0.8609360410831,0.7737394957983192,0.8940967691424395,0.8677018633540373,0.5176715176715176,0.8,0.6470626803042224,0.8885918674698795,0.9069767441860466,0.7599482978970605,0.7198107448107448
fullview_densenet_full_sample,DenseNet,All views,14->common12,full_sample,,0.8678561854049957,0.7819808830132873,0.7874200426439233,0.8530287114845938,0.7697478991596639,0.9030742731875359,0.8530020703933747,0.49480249480249483,0.7810526315789473,0.6305402570154734,0.8864457831325302,0.9534883720930233,0.7320349715347971,0.7391330891330892
