n_classes,seed,injected_noise_rate,true_noise_rate,estimated_noise_rate,issue_precision,issue_recall,oof_auroc_vs_clean
3,2,0.5,0.5114,0.4652,0.9987102321582115,0.9084865076261244,0.9982950218022556
4,0,0.0,0.0,0.006,0.0,,0.9978356266666667
4,0,0.05,0.0506,0.056,0.8535714285714285,0.9446640316205533,0.9967842133333333
4,0,0.1,0.1034,0.107,0.9009345794392524,0.9323017408123792,0.9962759466666667
4,0,0.15,0.157,0.1562,0.93854033290653,0.9337579617834395,0.9960861866666667
4,0,0.2,0.2092,0.2092,0.9455066921606119,0.9455066921606119,0.9956190933333333
4,0,0.25,0.2596,0.2556,0.956964006259781,0.9422187981510015,0.9952072000000001
4,0,0.3,0.3036,0.2954,0.960054163845633,0.9341238471673254,0.9943329599999999
4,0,0.35,0.3516,0.339,0.9728613569321534,0.9379977246871445,0.9931614933333334
4,0,0.4,0.4024,0.3784,0.9698731501057083,0.9120278330019881,0.9910549333333334
4,0,0.45,0.454,0.419,0.98472553699284,0.9088105726872246,0.9921777066666667
4,0,0.5,0.504,0.4552,0.9828646748681898,0.8876984126984127,0.9884316800000001
4,1,0.0,0.0,0.0064,0.0,,0.9981312533333333
4,1,0.05,0.0506,0.0538,0.8401486988847584,0.8932806324110671,0.9975175999999999
4,1,0.1,0.1024,0.1054,0.9165085388994307,0.943359375,0.9976333333333333
4,1,0.15,0.1534,0.1562,0.941101152368758,0.9582790091264668,0.9972984533333333
4,1,0.2,0.203,0.2028,0.9487179487179487,0.9477832512315271,0.9968114666666668
4,1,0.25,0.2524,0.2496,0.9631410256410257,0.9524564183835182,0.9968782933333333
4,1,0.3,0.3056,0.2982,0.9664654594232059,0.9430628272251309,0.99640192
4,1,0.35,0.3564,0.3436,0.9749708963911525,0.9399551066217733,0.996408
4,1,0.4,0.4014,0.388,0.9747422680412371,0.9422022919780767,0.9953122133333333
4,1,0.45,0.4462,0.421,0.9800475059382423,0.924697445091887,0.9955824
4,1,0.5,0.4918,0.4592,0.9873693379790941,0.9219194794631964,0.9952734933333334
4,2,0.0,0.0,0.0028,0.0,,0.9993438933333334
4,2,0.05,0.054,0.0562,0.9110320284697508,0.9481481481481482,0.9988012266666666
4,2,0.1,0.1044,0.1028,0.9474708171206225,0.9329501915708812,0.9984827733333332
4,2,0.15,0.1522,0.1488,0.9623655913978495,0.9408672798948752,0.9982757333333332
4,2,0.2,0.2062,0.1998,0.9679679679679679,0.9379243452958292,0.9979455466666667
4,2,0.25,0.253,0.2406,0.9833748960931006,0.9351778656126483,0.9975207466666666
4,2,0.3,0.305,0.2874,0.9846903270702854,0.9278688524590164,0.99710944
4,2,0.35,0.358,0.3338,0.9892150988615938,0.9223463687150838,0.9970376
4,2,0.4,0.4074,0.3742,0.9930518439337253,0.9121256750122729,0.9966034133333334
4,2,0.45,0.4638,0.4232,0.9905482041587902,0.9038378611470461,0.9953714133333333
4,2,0.5,0.5114,0.4574,0.989505902929602,0.8850215095815409,0.9931613866666668
