n_classes,injected_noise_rate,true_noise_rate_mean,true_noise_rate_std,estimated_noise_rate_mean,estimated_noise_rate_std,issue_precision_mean,issue_recall_mean,oof_auroc_vs_clean_mean,class_sep
3,0.1,0.1034,0.001,0.1328,0.0180033330247484,0.7028089862553567,0.8911994771942956,0.975597917595349,1.0
3,0.15,0.1542,0.0024979991993593,0.1747333333333333,0.0173393579273666,0.782574225135214,0.8817995911537921,0.9736872706326366,1.0
3,0.2,0.2061333333333333,0.0031005375877955,0.2178666666666666,0.0128098920109942,0.8282804351224483,0.8734401182880663,0.9719615096748172,1.0
3,0.25,0.255,0.0039949968710876,0.2584,0.0144374512986191,0.8589988895281309,0.8686228746761268,0.970563259976024,1.0
3,0.3,0.3047333333333333,0.0010263202878893,0.2947333333333333,0.0084007936133042,0.8855594101117239,0.8555710099619187,0.9689828798791846,1.0
3,0.35,0.3553333333333333,0.0033306655991458,0.3313333333333333,0.0065431898439013,0.9052417209016274,0.843628538730896,0.9658297777973992,1.0
3,0.4,0.4037333333333333,0.0032145502536643,0.3616666666666666,0.0055148284953689,0.9253173649419916,0.8287730827262947,0.963792381964422,1.0
3,0.45,0.4546666666666666,0.0088189190569668,0.3919999999999999,0.0066090846567433,0.9381985901737075,0.8090901212563072,0.9588496237524324,1.0
3,0.5,0.5024000000000001,0.0098974744253268,0.4198666666666666,0.0041968241961432,0.9394778995856932,0.785537799772373,0.9500925536540484,1.0
4,0.0,0.0,0.0,0.1216,0.0125107953384267,0.0,,0.9391635733333332,1.0
4,0.05,0.0517333333333333,0.0019629909152447,0.1551333333333333,0.0085049005481153,0.2825786941158201,0.8449665739520812,0.9382514133333334,1.0
4,0.1,0.1034,0.001,0.1954666666666666,0.0108486558307162,0.4494127036499493,0.8486620386195657,0.9369385066666668,1.0
4,0.15,0.1542,0.0024979991993593,0.2294,0.0109999999999999,0.5665727576521414,0.8421800610444818,0.9353353955555556,1.0
4,0.2,0.2061333333333333,0.0031005375877955,0.2633333333333333,0.0066161418767536,0.6488250914627712,0.8285272530177221,0.9330991822222222,1.0
4,0.25,0.255,0.0039949968710876,0.2968666666666666,0.0152332968635595,0.7093496181142834,0.824990091769379,0.9315658133333334,1.0
4,0.3,0.3047333333333333,0.0010263202878893,0.3233333333333333,0.0105039675043925,0.7592619585801937,0.8052950638363349,0.9290782755555554,1.0
4,0.35,0.3553333333333333,0.0033306655991458,0.3560666666666667,0.0052051256789181,0.7999225583140239,0.8015454334527768,0.92665408,1.0
4,0.4,0.4037333333333333,0.0032145502536643,0.3859999999999999,0.007219418259112,0.8251651530465939,0.7888240619238021,0.9220552355555556,1.0
4,0.45,0.4546666666666666,0.0088189190569668,0.4095333333333333,0.004437717130838,0.8559361539966366,0.771046005159787,0.9193286222222222,1.0
4,0.5,0.5024000000000001,0.0098974744253268,0.4344666666666666,0.0030615900008546,0.8735613153540357,0.755598899420161,0.9108720533333332,1.0
2,0.0,0.0,0.0,0.0001999999999999,0.0003464101615137,0.0,,0.9998578666666664,2.0
2,0.05,0.0517333333333333,0.0019629909152447,0.051,0.0019287301521985,0.9773754444587244,0.963441175035378,0.9998741333333332,2.0
2,0.1,0.1034,0.001,0.1031333333333333,0.0016772994167212,0.9813050714619604,0.9786601996054948,0.9998522666666668,2.0
2,0.15,0.1542,0.0024979991993593,0.1548,0.0038574603043971,0.9740879285346156,0.9776698761966616,0.99982144,2.0
2,0.2,0.2061333333333333,0.0031005375877955,0.2052666666666666,0.0035004761580866,0.9793606882681796,0.9752011297301602,0.9997822933333332,2.0
2,0.25,0.255,0.0039949968710876,0.2535333333333333,0.003700450423034,0.9825596686674556,0.9769308185555688,0.9996973333333332,2.0
2,0.3,0.3047333333333333,0.0010263202878893,0.3038,0.0018330302779823,0.983047388281692,0.9800543722801563,0.9996148266666668,2.0
2,0.35,0.3553333333333333,0.0033306655991458,0.3551999999999999,0.0042755116652863,0.9794141034904514,0.9790587096241694,0.9993592533333334,2.0
2,0.4,0.4037333333333333,0.0032145502536643,0.4040666666666667,0.0046704746368365,0.9655507602972868,0.9664341036045396,0.99604352,2.0
2,0.45,0.4546666666666666,0.0088189190569668,0.4539333333333333,0.01290632919669,0.8982049817862622,0.8969614735167529,0.9673619733333334,2.0
2,0.5,0.5024000000000001,0.0098974744253268,0.4789333333333332,0.0333168625973895,0.4783546869218657,0.4580007724196233,0.4654828266666667,2.0
